id,name,version,language,lines_of_code,last_updated,criticality
SW001,ClimateControlModule,v2.1.3,C++,12500,2024-03-15,high
SW002,AirflowManager,v1.8.7,C++,8900,2024-02-28,high
SW003,BrakeAssistSystem,v3.0.1,C++,15600,2024-04-02,critical
SW004,DoorControlUnit,v1.5.2,C,4200,2024-01-15,medium
SW005,PedestrianDetectionAI,v2.3.0,Python,23400,2024-04-10,critical
SW006,MediaStreamingEngine,v4.2.1,Java,18700,2024-03-20,low
SW007,MassageController,v1.2.0,C++,3100,2024-02-05,low
SW008,AdaptiveLightingSystem,v2.0.4,C++,9800,2024-03-08,medium
SW009,AirQualitySensor,v1.1.5,C,2800,2024-01-22,medium
SW010,CruiseControlManager,v2.5.1,C++,11200,2024-03-25,high
SW011,SeatPositionController,v1.3.2,C++,4600,2024-02-12,low
SW012,NavigationCore,v5.1.0,C++,28900,2024-04-05,high
SW013,BatteryManagementSystem,v1.9.2,C++,19500,2024-04-01,critical
SW014,TirePressureMonitor,v1.0.8,C,1900,2024-01-10,low
SW015,VoiceProcessingEngine,v1.4.0,Python,14300,2024-03-30,medium
SW016,ParkingSensorController,v2.2.1,C++,7800,2024-03-12,medium
SW017,LaneKeepingAssist,v1.7.3,C++,13400,2024-04-08,high
SW018,BlindSpotMonitor,v1.4.6,C++,9200,2024-02-22,high
SW019,AdaptiveCruiseControl,v2.8.0,C++,16800,2024-04-15,critical
SW020,CollisionWarningSystem,v3.1.2,C++,14300,2024-03-28,critical
SW021,NightVisionProcessor,v1.2.4,Python,18900,2024-04-12,medium
SW022,RainSensorController,v1.0.3,C,1200,2024-01-08,low
SW023,AutoParkingSystem,v2.5.0,C++,25600,2024-04-20,high
SW024,TrafficSignRecognition,v1.6.1,Python,16700,2024-03-30,high
SW025,DriverAttentionMonitor,v1.3.8,C++,11500,2024-04-05,high
SW026,WindowControlModule,v1.1.9,C,3400,2024-02-15,low
SW027,MirrorControlSystem,v1.0.7,C,2100,2024-01-20,low
SW028,SunroofController,v1.2.3,C++,3800,2024-02-28,low
SW029,SteeringAssistModule,v2.0.6,C++,8700,2024-03-18,high
SW030,SuspensionControlSystem,v1.9.1,C++,12300,2024-04-02,high
SW031,EngineControlUnit,v4.2.8,C++,32400,2024-04-18,critical
SW032,FuelInjectionController,v2.1.5,C++,9800,2024-03-22,high
SW033,TransmissionControlModule,v3.0.7,C++,18200,2024-04-10,critical
SW034,ExhaustControlSystem,v1.5.4,C++,7600,2024-03-15,medium
SW035,CoolingSystemManager,v1.8.2,C++,6900,2024-02-25,high
SW036,PowerDistributionUnit,v2.3.1,C++,14700,2024-04-08,critical
SW037,ChargingControlSystem,v1.4.3,C++,11200,2024-04-12,high
SW038,RegenerativeBrakeController,v1.6.9,C++,8900,2024-03-20,high
SW039,TractionControlSystem,v2.2.4,C++,10300,2024-04-01,high
SW040,StabilityControlModule,v2.7.6,C++,15400,2024-04-15,critical
SW041,HillStartAssistController,v1.1.2,C++,4200,2024-02-18,medium
SW042,LoadLevelingSystem,v1.3.5,C++,6700,2024-03-08,medium
SW043,TrailerAssistModule,v1.0.9,C++,8400,2024-03-25,medium
SW044,CargoManagementSystem,v1.2.1,C++,5300,2024-02-12,low
SW045,EmergencyCallSystem,v2.0.3,C++,7800,2024-04-05,critical
SW046,TheftDetectionModule,v1.7.2,C++,6200,2024-03-18,medium
SW047,RemoteStartController,v1.4.7,C++,4900,2024-02-22,low
SW048,TelematicsControlUnit,v3.1.4,C++,21200,2024-04-20,high
SW049,OTAUpdateManager,v1.8.6,Python,15800,2024-04-18,high
SW050,DiagnosticsEngine,v2.4.9,C++,18600,2024-04-12,high
SW051,InstrumentClusterDisplay,v1.9.7,C++,13400,2024-03-28,medium
SW052,InfotainmentCore,v4.5.2,Java,34700,2024-04-22,medium
SW053,WirelessChargingController,v1.0.4,C++,3200,2024-02-08,low
SW054,AmbientLightingSystem,v1.3.1,C++,4100,2024-03-05,low
SW055,SeatHeatingController,v1.1.8,C,2800,2024-01-28,low
SW056,SteeringWheelHeater,v1.0.5,C,1400,2024-01-15,low
SW057,DefrostingSystem,v1.2.6,C++,3600,2024-02-20,medium
SW058,WiperControlModule,v1.4.2,C++,4700,2024-03-10,low
SW059,HornController,v1.0.1,C,800,2024-01-05,low
SW060,TurnSignalController,v1.1.3,C,1600,2024-01-25,medium
